# FalsePositiveRate TruePositiveRate
1 1
0.520833 0.842857
0.5 0.842857
0.472222 0.842857
0.465278 0.842857
0.409722 0.842857
0.326389 0.842857
0.305556 0.814286
0.270833 0.8
0.25 0.785714
0.25 0.728571
0.236111 0.728571
0.215278 0.714286
0.208333 0.714286
0.180556 0.714286
0.173611 0.714286
0.159722 0.714286
0.145833 0.714286
0.125 0.685714
0.125 0.671429
0.118056 0.671429
0.111111 0.671429
0.104167 0.628571
0.083333 0.6
0.076389 0.557143
0.076389 0.542857
0.076389 0.528571
0.076389 0.485714
0.069444 0.442857
0.048611 0.314286
