@relation ThresholdCurve

@attribute Instance_number numeric
@attribute 'True Positives' numeric
@attribute 'False Negatives' numeric
@attribute 'False Positives' numeric
@attribute 'True Negatives' numeric
@attribute 'False Positive Rate' numeric
@attribute 'True Positive Rate' numeric
@attribute Precision numeric
@attribute Recall numeric
@attribute Fallout numeric
@attribute FMeasure numeric
@attribute 'Sample Size' numeric
@attribute Lift numeric
@attribute Threshold numeric

@data
0,70,0,144,0,1,1,0.327103,1,0.672897,0.492958,1,1,0
1,70,0,143,1,0.993056,1,0.328638,1,0.671362,0.4947,0.995327,1.004695,0
2,70,0,142,2,0.986111,1,0.330189,1,0.669811,0.496454,0.990654,1.009434,0
3,70,0,141,3,0.979167,1,0.331754,1,0.668246,0.498221,0.985981,1.014218,0
4,70,0,140,4,0.972222,1,0.333333,1,0.666667,0.5,0.981308,1.019048,0
5,70,0,139,5,0.965278,1,0.334928,1,0.665072,0.501792,0.976636,1.023923,0
6,70,0,138,6,0.958333,1,0.336538,1,0.663462,0.503597,0.971963,1.028846,0
7,70,0,137,7,0.951389,1,0.338164,1,0.661836,0.505415,0.96729,1.033816,0
8,70,0,136,8,0.944444,1,0.339806,1,0.660194,0.507246,0.962617,1.038835,0
9,70,0,135,9,0.9375,1,0.341463,1,0.658537,0.509091,0.957944,1.043902,0
10,70,0,134,10,0.930556,1,0.343137,1,0.656863,0.510949,0.953271,1.04902,0
11,70,0,133,11,0.923611,1,0.344828,1,0.655172,0.512821,0.948598,1.054187,0
12,70,0,132,12,0.916667,1,0.346535,1,0.653465,0.514706,0.943925,1.059406,0
13,70,0,131,13,0.909722,1,0.348259,1,0.651741,0.516605,0.939252,1.064677,0
14,70,0,130,14,0.902778,1,0.35,1,0.65,0.518519,0.934579,1.07,0
15,70,0,129,15,0.895833,1,0.351759,1,0.648241,0.520446,0.929907,1.075377,0
16,70,0,128,16,0.888889,1,0.353535,1,0.646465,0.522388,0.925234,1.080808,0
17,70,0,127,17,0.881944,1,0.35533,1,0.64467,0.524345,0.920561,1.086294,0
18,70,0,126,18,0.875,1,0.357143,1,0.642857,0.526316,0.915888,1.091837,0
19,70,0,125,19,0.868056,1,0.358974,1,0.641026,0.528302,0.911215,1.097436,0
20,70,0,124,20,0.861111,1,0.360825,1,0.639175,0.530303,0.906542,1.103093,0
21,70,0,123,21,0.854167,1,0.362694,1,0.637306,0.532319,0.901869,1.108808,0
22,70,0,122,22,0.847222,1,0.364583,1,0.635417,0.534351,0.897196,1.114583,0
23,70,0,121,23,0.840278,1,0.366492,1,0.633508,0.536398,0.892523,1.120419,0
24,70,0,120,24,0.833333,1,0.368421,1,0.631579,0.538462,0.88785,1.126316,0
25,70,0,119,25,0.826389,1,0.37037,1,0.62963,0.540541,0.883178,1.132275,0
26,69,1,119,25,0.826389,0.985714,0.367021,0.985714,0.632979,0.534884,0.878505,1.122036,0
27,69,1,118,26,0.819444,0.985714,0.368984,0.985714,0.631016,0.536965,0.873832,1.128037,0
28,69,1,117,27,0.8125,0.985714,0.370968,0.985714,0.629032,0.539063,0.869159,1.134101,0
29,69,1,116,28,0.805556,0.985714,0.372973,0.985714,0.627027,0.541176,0.864486,1.140232,0
30,69,1,115,29,0.798611,0.985714,0.375,0.985714,0.625,0.543307,0.859813,1.146429,0
31,69,1,114,30,0.791667,0.985714,0.377049,0.985714,0.622951,0.545455,0.85514,1.152693,0
32,69,1,113,31,0.784722,0.985714,0.379121,0.985714,0.620879,0.547619,0.850467,1.159027,0
33,69,1,112,32,0.777778,0.985714,0.381215,0.985714,0.618785,0.549801,0.845794,1.16543,0
34,69,1,111,33,0.770833,0.985714,0.383333,0.985714,0.616667,0.552,0.841121,1.171905,0
35,69,1,110,34,0.763889,0.985714,0.385475,0.985714,0.614525,0.554217,0.836449,1.178452,0
36,69,1,109,35,0.756944,0.985714,0.38764,0.985714,0.61236,0.556452,0.831776,1.185072,0
37,69,1,108,36,0.75,0.985714,0.389831,0.985714,0.610169,0.558704,0.827103,1.191768,0
38,69,1,107,37,0.743056,0.985714,0.392045,0.985714,0.607955,0.560976,0.82243,1.198539,0
39,69,1,106,38,0.736111,0.985714,0.394286,0.985714,0.605714,0.563265,0.817757,1.205388,0
40,69,1,105,39,0.729167,0.985714,0.396552,0.985714,0.603448,0.565574,0.813084,1.212315,0
41,69,1,104,40,0.722222,0.985714,0.398844,0.985714,0.601156,0.567901,0.808411,1.219323,0
42,69,1,103,41,0.715278,0.985714,0.401163,0.985714,0.598837,0.570248,0.803738,1.226412,0
43,69,1,102,42,0.708333,0.985714,0.403509,0.985714,0.596491,0.572614,0.799065,1.233584,0
44,69,1,101,43,0.701389,0.985714,0.405882,0.985714,0.594118,0.575,0.794393,1.24084,0
45,69,1,100,44,0.694444,0.985714,0.408284,0.985714,0.591716,0.577406,0.78972,1.248183,0
46,69,1,99,45,0.6875,0.985714,0.410714,0.985714,0.589286,0.579832,0.785047,1.255612,0
47,69,1,98,46,0.680556,0.985714,0.413174,0.985714,0.586826,0.582278,0.780374,1.263131,0
48,69,1,97,47,0.673611,0.985714,0.415663,0.985714,0.584337,0.584746,0.775701,1.27074,0
49,69,1,96,48,0.666667,0.985714,0.418182,0.985714,0.581818,0.587234,0.771028,1.278442,0
50,69,1,95,49,0.659722,0.985714,0.420732,0.985714,0.579268,0.589744,0.766355,1.286237,0
51,69,1,94,50,0.652778,0.985714,0.423313,0.985714,0.576687,0.592275,0.761682,1.294128,0
52,69,1,93,51,0.645833,0.985714,0.425926,0.985714,0.574074,0.594828,0.757009,1.302116,0
53,69,1,92,52,0.638889,0.985714,0.428571,0.985714,0.571429,0.597403,0.752336,1.310204,0
54,69,1,91,53,0.631944,0.985714,0.43125,0.985714,0.56875,0.6,0.747664,1.318393,0
55,69,1,90,54,0.625,0.985714,0.433962,0.985714,0.566038,0.60262,0.742991,1.326685,0
56,69,1,89,55,0.618056,0.985714,0.436709,0.985714,0.563291,0.605263,0.738318,1.335081,0
57,69,1,88,56,0.611111,0.985714,0.43949,0.985714,0.56051,0.60793,0.733645,1.343585,0
58,69,1,87,57,0.604167,0.985714,0.442308,0.985714,0.557692,0.610619,0.728972,1.352198,0
59,69,1,86,58,0.597222,0.985714,0.445161,0.985714,0.554839,0.613333,0.724299,1.360922,0
60,69,1,85,59,0.590278,0.985714,0.448052,0.985714,0.551948,0.616071,0.719626,1.369759,0
61,69,1,84,60,0.583333,0.985714,0.45098,0.985714,0.54902,0.618834,0.714953,1.378711,0.000004
62,69,1,83,61,0.576389,0.985714,0.453947,0.985714,0.546053,0.621622,0.71028,1.387782,0.000005
63,69,1,82,62,0.569444,0.985714,0.456954,0.985714,0.543046,0.624434,0.705607,1.396973,0.000045
64,69,1,81,63,0.5625,0.985714,0.46,0.985714,0.54,0.627273,0.700935,1.406286,0.000079
65,69,1,80,64,0.555556,0.985714,0.463087,0.985714,0.536913,0.630137,0.696262,1.415724,0.001658
66,69,1,79,65,0.548611,0.985714,0.466216,0.985714,0.533784,0.633028,0.691589,1.42529,0.001785
67,68,2,79,65,0.548611,0.971429,0.462585,0.971429,0.537415,0.626728,0.686916,1.414189,0.004302
68,68,2,78,66,0.541667,0.971429,0.465753,0.971429,0.534247,0.62963,0.682243,1.423875,0.00679
69,67,3,78,66,0.541667,0.957143,0.462069,0.957143,0.537931,0.623256,0.67757,1.412611,0.016405
70,67,3,77,67,0.534722,0.957143,0.465278,0.957143,0.534722,0.626168,0.672897,1.422421,0.02543
71,67,3,76,68,0.527778,0.957143,0.468531,0.957143,0.531469,0.629108,0.668224,1.432368,0.02611
72,66,4,76,68,0.527778,0.942857,0.464789,0.942857,0.535211,0.622642,0.663551,1.420926,0.027413
73,65,5,76,68,0.527778,0.928571,0.460993,0.928571,0.539007,0.616114,0.658879,1.409321,0.033164
74,65,5,75,69,0.520833,0.928571,0.464286,0.928571,0.535714,0.619048,0.654206,1.419388,0.049676
75,64,6,75,69,0.520833,0.914286,0.460432,0.914286,0.539568,0.61244,0.649533,1.407605,0.120078
76,63,7,75,69,0.520833,0.9,0.456522,0.9,0.543478,0.605769,0.64486,1.395652,0.132178
77,62,8,75,69,0.520833,0.885714,0.452555,0.885714,0.547445,0.599034,0.640187,1.383525,0.138003
78,62,8,74,70,0.513889,0.885714,0.455882,0.885714,0.544118,0.601942,0.635514,1.393697,0.170652
