# FalsePositiveRate TruePositiveRate
1 1
0.993056 1
0.986111 1
0.979167 1
0.972222 1
0.965278 1
0.958333 1
0.951389 1
0.944444 1
0.9375 1
0.930556 1
0.923611 1
0.916667 1
0.909722 1
0.902778 1
0.895833 1
0.888889 1
0.881944 1
0.875 1
0.868056 1
0.861111 1
0.854167 1
0.847222 1
0.840278 1
0.833333 1
0.826389 1
0.826389 0.985714
0.819444 0.985714
0.8125 0.985714
0.805556 0.985714
0.798611 0.985714
0.791667 0.985714
0.784722 0.985714
0.777778 0.985714
0.770833 0.985714
0.763889 0.985714
0.756944 0.985714
0.75 0.985714
0.743056 0.985714
0.736111 0.985714
0.729167 0.985714
0.722222 0.985714
0.715278 0.985714
0.708333 0.985714
0.701389 0.985714
0.694444 0.985714
0.6875 0.985714
0.680556 0.985714
0.673611 0.985714
0.666667 0.985714
0.659722 0.985714
0.652778 0.985714
0.645833 0.985714
0.638889 0.985714
0.631944 0.985714
0.625 0.985714
0.618056 0.985714
0.611111 0.985714
0.604167 0.985714
0.597222 0.985714
0.590278 0.985714
0.583333 0.985714
0.576389 0.985714
0.569444 0.985714
0.5625 0.985714
0.555556 0.985714
0.548611 0.985714
0.548611 0.971429
0.541667 0.971429
0.541667 0.957143
0.534722 0.957143
0.527778 0.957143
0.527778 0.942857
0.527778 0.928571
0.520833 0.928571
0.520833 0.914286
0.520833 0.9
0.520833 0.885714
0.513889 0.885714
0.513889 0.871429
0.506944 0.871429
0.506944 0.857143
0.5 0.857143
0.5 0.842857
0.493056 0.842857
0.493056 0.828571
0.493056 0.814286
0.486111 0.814286
0.479167 0.814286
0.479167 0.8
0.472222 0.8
0.465278 0.8
0.458333 0.8
0.451389 0.8
0.444444 0.8
0.444444 0.785714
0.4375 0.785714
0.4375 0.771429
0.430556 0.771429
0.430556 0.757143
0.423611 0.757143
0.416667 0.757143
0.416667 0.742857
0.416667 0.728571
0.416667 0.714286
0.409722 0.714286
0.402778 0.714286
0.402778 0.7
0.402778 0.685714
0.402778 0.671429
0.395833 0.671429
0.388889 0.671429
0.388889 0.657143
0.388889 0.642857
0.381944 0.642857
0.375 0.642857
0.375 0.628571
0.375 0.614286
0.368056 0.614286
0.361111 0.614286
0.361111 0.6
0.354167 0.6
0.347222 0.6
0.347222 0.585714
0.347222 0.571429
0.340278 0.571429
0.340278 0.557143
0.333333 0.557143
0.326389 0.557143
0.326389 0.542857
0.326389 0.528571
0.319444 0.528571
0.3125 0.528571
0.305556 0.528571
0.305556 0.514286
0.298611 0.514286
0.298611 0.5
0.291667 0.5
0.284722 0.5
0.277778 0.5
0.270833 0.5
0.270833 0.485714
0.263889 0.485714
0.263889 0.471429
0.256944 0.471429
0.25 0.471429
0.25 0.457143
0.25 0.442857
0.25 0.428571
0.243056 0.428571
0.243056 0.414286
0.243056 0.4
0.236111 0.4
0.229167 0.4
0.222222 0.4
0.222222 0.385714
0.215278 0.385714
0.215278 0.371429
0.208333 0.371429
0.208333 0.357143
0.201389 0.357143
0.194444 0.357143
0.1875 0.357143
0.180556 0.357143
0.180556 0.342857
0.173611 0.342857
0.173611 0.328571
0.173611 0.314286
0.166667 0.314286
0.159722 0.314286
0.152778 0.314286
0.152778 0.3
0.145833 0.3
0.138889 0.3
0.138889 0.285714
0.138889 0.271429
0.131944 0.271429
0.131944 0.257143
0.125 0.257143
0.125 0.242857
0.118056 0.242857
0.118056 0.228571
0.118056 0.214286
0.118056 0.2
0.111111 0.2
0.111111 0.185714
0.111111 0.171429
0.111111 0.157143
0.104167 0.157143
0.104167 0.142857
0.104167 0.128571
0.097222 0.128571
0.090278 0.128571
0.090278 0.114286
0.083333 0.114286
0.076389 0.114286
0.069444 0.114286
0.069444 0.1
0.0625 0.1
0.055556 0.1
0.048611 0.1
0.048611 0.085714
0.048611 0.071429
0.048611 0.057143
0.048611 0.042857
0.041667 0.042857
0.041667 0.028571
0.034722 0.028571
0.027778 0.028571
0.020833 0.028571
0.013889 0.028571
0.013889 0.014286
0.006944 0.014286
0.006944 0,0

