@relation ThresholdCurve

@attribute Instance_number numeric
@attribute 'True Positives' numeric
@attribute 'False Negatives' numeric
@attribute 'False Positives' numeric
@attribute 'True Negatives' numeric
@attribute 'False Positive Rate' numeric
@attribute 'True Positive Rate' numeric
@attribute Precision numeric
@attribute Recall numeric
@attribute Fallout numeric
@attribute FMeasure numeric
@attribute 'Sample Size' numeric
@attribute Lift numeric
@attribute Threshold numeric

@data
0,13,0,201,0,1,1,0.060748,1,0.939252,0.114537,1,1,0
1,13,0,200,1,0.995025,1,0.061033,1,0.938967,0.115044,0.995327,1.004695,0
2,13,0,199,2,0.99005,1,0.061321,1,0.938679,0.115556,0.990654,1.009434,0
3,12,1,199,2,0.99005,0.923077,0.056872,0.923077,0.943128,0.107143,0.985981,0.936201,0
4,12,1,198,3,0.985075,0.923077,0.057143,0.923077,0.942857,0.107623,0.981308,0.940659,0
5,12,1,197,4,0.9801,0.923077,0.057416,0.923077,0.942584,0.108108,0.976636,0.94516,0
6,12,1,196,5,0.975124,0.923077,0.057692,0.923077,0.942308,0.108597,0.971963,0.949704,0
7,12,1,195,6,0.970149,0.923077,0.057971,0.923077,0.942029,0.109091,0.96729,0.954292,0
8,12,1,194,7,0.965174,0.923077,0.058252,0.923077,0.941748,0.109589,0.962617,0.958925,0
9,12,1,193,8,0.960199,0.923077,0.058537,0.923077,0.941463,0.110092,0.957944,0.963602,0
10,12,1,192,9,0.955224,0.923077,0.058824,0.923077,0.941176,0.110599,0.953271,0.968326,0
11,12,1,191,10,0.950249,0.923077,0.059113,0.923077,0.940887,0.111111,0.948598,0.973096,0
12,12,1,190,11,0.945274,0.923077,0.059406,0.923077,0.940594,0.111628,0.943925,0.977913,0
13,12,1,189,12,0.940299,0.923077,0.059701,0.923077,0.940299,0.11215,0.939252,0.982778,0
14,12,1,188,13,0.935323,0.923077,0.06,0.923077,0.94,0.112676,0.934579,0.987692,0
15,12,1,187,14,0.930348,0.923077,0.060302,0.923077,0.939698,0.113208,0.929907,0.992656,0
16,12,1,186,15,0.925373,0.923077,0.060606,0.923077,0.939394,0.113744,0.925234,0.997669,0
17,12,1,185,16,0.920398,0.923077,0.060914,0.923077,0.939086,0.114286,0.920561,1.002733,0
18,12,1,184,17,0.915423,0.923077,0.061224,0.923077,0.938776,0.114833,0.915888,1.007849,0
19,12,1,183,18,0.910448,0.923077,0.061538,0.923077,0.938462,0.115385,0.911215,1.013018,0
20,12,1,182,19,0.905473,0.923077,0.061856,0.923077,0.938144,0.115942,0.906542,1.018239,0
21,12,1,181,20,0.900498,0.923077,0.062176,0.923077,0.937824,0.116505,0.901869,1.023515,0
22,12,1,180,21,0.895522,0.923077,0.0625,0.923077,0.9375,0.117073,0.897196,1.028846,0
23,12,1,179,22,0.890547,0.923077,0.062827,0.923077,0.937173,0.117647,0.892523,1.034233,0
24,12,1,178,23,0.885572,0.923077,0.063158,0.923077,0.936842,0.118227,0.88785,1.039676,0
25,12,1,177,24,0.880597,0.923077,0.063492,0.923077,0.936508,0.118812,0.883178,1.045177,0
26,12,1,176,25,0.875622,0.923077,0.06383,0.923077,0.93617,0.119403,0.878505,1.050736,0
27,12,1,175,26,0.870647,0.923077,0.064171,0.923077,0.935829,0.12,0.873832,1.056355,0
28,12,1,174,27,0.865672,0.923077,0.064516,0.923077,0.935484,0.120603,0.869159,1.062035,0
29,12,1,173,28,0.860697,0.923077,0.064865,0.923077,0.935135,0.121212,0.864486,1.067775,0
30,12,1,172,29,0.855721,0.923077,0.065217,0.923077,0.934783,0.121827,0.859813,1.073579,0
31,12,1,171,30,0.850746,0.923077,0.065574,0.923077,0.934426,0.122449,0.85514,1.079445,0
32,12,1,170,31,0.845771,0.923077,0.065934,0.923077,0.934066,0.123077,0.850467,1.085376,0
33,12,1,169,32,0.840796,0.923077,0.066298,0.923077,0.933702,0.123711,0.845794,1.091373,0
34,12,1,168,33,0.835821,0.923077,0.066667,0.923077,0.933333,0.124352,0.841121,1.097436,0
35,12,1,167,34,0.830846,0.923077,0.067039,0.923077,0.932961,0.125,0.836449,1.103567,0
36,12,1,166,35,0.825871,0.923077,0.067416,0.923077,0.932584,0.125654,0.831776,1.109767,0
37,12,1,165,36,0.820896,0.923077,0.067797,0.923077,0.932203,0.126316,0.827103,1.116037,0
