# FalsePositiveRate TruePositiveRate
1 1
0.995025 1
0.99005 1
0.99005 0.923077
0.985075 0.923077
0.9801 0.923077
0.975124 0.923077
0.970149 0.923077
0.965174 0.923077
0.960199 0.923077
0.955224 0.923077
0.950249 0.923077
0.945274 0.923077
0.940299 0.923077
0.935323 0.923077
0.930348 0.923077
0.925373 0.923077
0.920398 0.923077
0.915423 0.923077
0.910448 0.923077
0.905473 0.923077
0.900498 0.923077
0.895522 0.923077
0.890547 0.923077
0.885572 0.923077
0.880597 0.923077
0.875622 0.923077
0.870647 0.923077
0.865672 0.923077
0.860697 0.923077
0.855721 0.923077
0.850746 0.923077
0.845771 0.923077
0.840796 0.923077
0.835821 0.923077
0.830846 0.923077
0.825871 0.923077
0.820896 0.923077
0.81592 0.923077
0.810945 0.923077
0.80597 0.923077
0.800995 0.923077
0.79602 0.923077
0.791045 0.923077
0.78607 0.923077
0.781095 0.923077
0.776119 0.923077
0.771144 0.923077
0.766169 0.923077
0.761194 0.923077
0.756219 0.923077
0.751244 0.923077
0.746269 0.923077
0.741294 0.923077
0.736318 0.923077
0.731343 0.923077
0.726368 0.923077
0.721393 0.923077
0.716418 0.923077
0.711443 0.923077
0.706468 0.923077
0.701493 0.923077
0.696517 0.923077
0.691542 0.923077
0.686567 0.923077
0.681592 0.923077
0.676617 0.923077
0.671642 0.923077
0.666667 0.923077
0.661692 0.923077
0.656716 0.923077
0.651741 0.923077
0.646766 0.923077
0.641791 0.923077
0.636816 0.923077
0.631841 0.923077
0.626866 0.923077
0.621891 0.923077
0.616915 0.923077
0.61194 0.923077
0.606965 0.923077
0.60199 0.923077
0.597015 0.923077
0.59204 0.923077
0.587065 0.923077
0.58209 0.923077
0.577114 0.923077
0.572139 0.923077
0.567164 0.923077
0.562189 0.923077
0.557214 0.923077
0.552239 0.923077
0.547264 0.923077
0.542289 0.923077
0.537313 0.923077
0.532338 0.923077
0.527363 0.923077
0.522388 0.923077
0.517413 0.923077
0.512438 0.923077
0.507463 0.923077
0.502488 0.923077
0.497512 0.923077
0.492537 0.923077
0.487562 0.923077
0.482587 0.923077
0.477612 0.923077
0.472637 0.923077
0.467662 0.923077
0.462687 0.923077
0.457711 0.923077
0.452736 0.923077
0.447761 0.923077
0.442786 0.923077
0.437811 0.923077
0.432836 0.923077
0.427861 0.923077
0.427861 0.846154
0.422886 0.846154
0.41791 0.846154
0.412935 0.846154
0.40796 0.846154
0.402985 0.846154
0.39801 0.846154
0.393035 0.846154
0.38806 0.846154
0.383085 0.846154
0.378109 0.846154
0.373134 0.846154
0.368159 0.846154
0.363184 0.846154
0.358209 0.846154
0.353234 0.846154
0.348259 0.846154
0.343284 0.846154
0.338308 0.846154
0.333333 0.846154
0.328358 0.846154
0.323383 0.846154
0.318408 0.846154
0.313433 0.846154
0.308458 0.846154
0.303483 0.846154
0.298507 0.846154
0.293532 0.846154
0.288557 0.846154
0.283582 0.846154
0.278607 0.846154
0.273632 0.846154
0.268657 0.846154
0.263682 0.846154
0.258706 0.846154
0.253731 0.846154
0.248756 0.846154
0.243781 0.846154
0.238806 0.846154
0.233831 0.846154
0.228856 0.846154
0.223881 0.846154
0.218905 0.846154
0.21393 0.846154
0.208955 0.846154
0.20398 0.846154
0.199005 0.846154
0.19403 0.846154
0.189055 0.846154
0.18408 0.846154
0.179104 0.846154
0.174129 0.846154
0.169154 0.846154
0.164179 0.846154
0.159204 0.846154
0.154229 0.846154
0.149254 0.846154
0.144279 0.846154
0.139303 0.846154
0.134328 0.846154
0.129353 0.846154
0.129353 0.769231
0.124378 0.769231
0.119403 0.769231
0.114428 0.769231
0.109453 0.769231
0.104478 0.769231
0.104478 0.692308
0.099502 0.692308
0.099502 0.615385
0.094527 0.615385
0.089552 0.615385
0.084577 0.615385
0.079602 0.615385
0.079602 0.538462
0.074627 0.538462
0.069652 0.538462
0.064677 0.538462
0.059701 0.538462
0.054726 0.538462
0.049751 0.538462
0.049751 0.461538
0.049751 0.384615
0.049751 0.307692
0.044776 0.307692
0.039801 0.307692
0.039801 0.230769
0.039801 0.153846
0.034826 0.153846
0.029851 0.153846
0.024876 0.153846
0.0199 0.153846
0.014925 0.153846
0.00995 0.153846
0.004975 0.153846
