# FalsePositiveRate TruePositiveRate
1 1
0.995122 1
0.990244 1
0.985366 1
0.980488 1
0.97561 1
0.970732 1
0.965854 1
0.960976 1
0.956098 1
0.95122 1
0.946341 1
0.941463 1
0.936585 1
0.931707 1
0.926829 1
0.921951 1
0.917073 1
0.912195 1
0.907317 1
0.902439 1
0.897561 1
0.892683 1
0.887805 1
0.882927 1
0.878049 1
0.873171 1
0.868293 1
0.863415 1
0.858537 1
0.853659 1
0.84878 1
0.843902 1
0.839024 1
0.834146 1
0.829268 1
0.82439 1
0.819512 1
0.814634 1
0.809756 1
0.804878 1
0.8 1
0.795122 1
0.790244 1
0.785366 1
0.780488 1
0.77561 1
0.770732 1
0.765854 1
0.760976 1
0.756098 1
0.75122 1
0.746341 1
0.741463 1
0.736585 1
0.731707 1
0.726829 1
0.721951 1
0.717073 1
0.712195 1
0.707317 1
0.702439 1
0.697561 1
0.692683 1
0.687805 1
0.682927 1
0.678049 1
0.673171 1
0.668293 1
0.663415 1
0.658537 1
0.653659 1
0.64878 1
0.643902 1
0.639024 1
0.634146 1
0.629268 1
0.62439 1
0.619512 1
0.614634 1
0.609756 1
0.604878 1
0.6 1
0.595122 1
0.590244 1
0.585366 1
0.580488 1
0.57561 1
0.570732 1
0.565854 1
0.560976 1
0.556098 1
0.55122 1
0.546341 1
0.541463 1
0.536585 1
0.531707 1
0.526829 1
0.521951 1
0.517073 1
0.512195 1
0.507317 1
0.502439 1
0.497561 1
0.492683 1
0.487805 1
0.482927 1
0.478049 1
0.473171 1
0.468293 1
0.463415 1
0.458537 1
0.453659 1
0.44878 1
0.443902 1
0.439024 1
0.434146 1
0.429268 1
0.42439 1
0.419512 1
0.414634 1
0.409756 1
0.404878 1
0.4 1
0.395122 1
0.390244 1
0.385366 1
0.380488 1
0.37561 1
0.370732 1
0.365854 1
0.360976 1
0.356098 1
0.35122 1
0.346341 1
0.341463 1
0.336585 1
0.331707 1
0.326829 1
0.321951 1
0.317073 1
0.312195 1
0.307317 1
0.302439 1
0.297561 1
0.292683 1
0.287805 1
0.282927 1
0.278049 1
0.273171 1
0.268293 1
0.263415 1
0.258537 1
0.253659 1
0.24878 1
0.243902 1
0.239024 1
0.234146 1
0.229268 1
0.22439 1
0.219512 1
0.214634 1
0.209756 1
0.204878 1
0.2 1
0.195122 1
0.190244 1
0.185366 1
0.180488 1
0.17561 1
0.170732 1
0.165854 1
0.160976 1
0.156098 1
0.15122 1
0.146341 1
0.141463 1
0.136585 1
0.131707 1
0.126829 1
0.121951 1
0.117073 1
0.112195 1
0.107317 1
0.102439 1
0.097561 1
0.097561 0.888889
0.092683 0.888889
0.087805 0.888889
0.082927 0.888889
0.078049 0.888889
0.073171 0.888889
0.068293 0.888889
0.063415 0.888889
0.058537 0.888889
0.053659 0.888889
0.04878 0.888889
0.043902 0.888889
0.039024 0.888889
0.034146 0.888889
0.029268 0.888889
0.02439 0.888889
0.019512 0.888889
0.014634 0.888889
0.009756 0.888889
0.004878 0.888889
0.004878 0.777778
0.004878 0.666667
0.004878 0.555556
0.004878 0.444444
0.004878 0.333333
0.004878 0.222222
0.004878 0.111111
0.004878 0
